06 · FILE INDEX,,,,,,,TECHNICAL
54 documentos-fonte + 2 artefatos de indice. Reconciliacao 54/56 e cobertura.,,,,,,,
OBJETIVO,Manter hash e papel predominante.,,,,,,
PROXIMA ACAO,Nenhuma.,,DONO,Leonardo,STATUS,WORKING,
FILE-023,ICPS-WORKFLOWS,TEXT,d31420e6fc1f,1103,ICP_WORKFLOWS,IN_SCOPE,FULL
FILE-024,LEONARDO-OS.md,MD,d65195c6fb7a,436,MACRO,IN_SCOPE,FULL
FILE-025,LEONARDO_MACRO_PERSONALIZATION___PROPRIETARY_SKILL_STACK.md,MD,9079d7b5168f,2629,SKILL_STACK,IN_SCOPE,FULL
FILE-026,MASTER-INDEX-AGENTIC-SYSTEMS-ARCHITECT.md,MD,a2e3537b6767,253,MASTER_INDEX,IN_SCOPE,FULL
FILE-027,MATER-FULL-PRINT,TEXT,67668885806e,1050,UNIFIED_CATALOG,IN_SCOPE,FULL
FILE-028,OUTPUT-REQUIREMNETS_,TEXT,34f9bd2c4681,1064,OUTPUT_REQUIREMENTS,IN_SCOPE,FULL
FILE-029,OUTPUT_REQUIREMENTS_V2.md,MD,e5772818bec1,740,OUTPUT_REQUIREMENTS,IN_SCOPE,FULL
FILE-030,OUTPUT_REQUIREMENTS_V3.md,MD,0153c241ce43,640,OUTPUT_REQUIREMENTS,IN_SCOPE,FULL
FILE-031,PHARMACY_-_CMD,TEXT,fbbee4a348a5,415,CMD,IN_SCOPE,FULL
FILE-032,Propostas_de_wirfremes_.txt,TXT,86d2f0d046de,967,WIREFRAME,IN_SCOPE,FULL
FILE-033,RATIONAL_ADPT_txt.rtf,RTF,c5e4bb03f232,49,DERIVATION,IN_SCOPE,FULL
FILE-034,README,TEXT,e827b6944975,808,MASTER_INDEX,IN_SCOPE,FULL
FILE-035,README-ASA-TREEFILE.md,MD,3ecf2043a280,170,TREEFILE,IN_SCOPE,FULL
FILE-036,RESUMO_EXECUTIVO_DO_PROJETO_,TEXT,e7c0fa9b68b9,532,EXECUTIVE_SUMMARY,IN_SCOPE,FULL
FILE-037,SAKANA-BLUEPRINT_txt.rtf,RTF,f5016e9f5f72,65,EXTERNAL_REFERENCE,IN_SCOPE,FULL
FILE-038,SAKANA_TXT.rtf,RTF,5b5c0c7bc4bd,1,EXTERNAL_REFERENCE,IN_SCOPE,FULL
FILE-039,SOT_DESING_SYSTEM,TEXT,41b66bfa0c08,552,DESIGN_SYSTEM,IN_SCOPE,FULL
FILE-040,Template_Minimo_Padronizacao_Processo.xlsx,XLSX,36561891aa48,200,WORKBOOK,IN_SCOPE,SHEETS->ITEMS
FILE-041,UNIVERSAL_ICP_OPERATING_SYSTEM_SCHEMA.md,MD,461c91e8eb5d,1856,ICP_SCHEMA,IN_SCOPE,FULL
FILE-042,VARIÁVEIS_DO_AMBIENTE_,TEXT,8d6839fa05c8,38,ENV_VARS,IN_SCOPE,FULL
FILE-043,VARIÁVEIS_PERSONALIZADAS,TEXT,00b681d7aeec,520,MECE_TRANSCRIPT,IN_SCOPE,FULL
FILE-044,WF1.md,MD,f6db0a9a574c,25,WF,IN_SCOPE,FULL
FILE-045,WF2.md,MD,453329015e56,839,WF,IN_SCOPE,FULL
FILE-046,WF3.md,MD,7622ac78c116,792,WF,IN_SCOPE,FULL
FILE-047,WF4.md,MD,9a0c83032820,811,WF,IN_SCOPE,FULL
FILE-048,WF5.md,MD,03b2d4ac820d,964,WF,IN_SCOPE,FULL
FILE-049,WF6.md,MD,0669e07cfef5,1249,WF,IN_SCOPE,FULL
FILE-050,Wireframe,TEXT,a9b30cdc79b1,267,WIREFRAME,IN_SCOPE,FULL
FILE-051,Wireframe_2,TEXT,2a5278e0a980,921,WIREFRAME,IN_SCOPE,FULL
FILE-052,Workflowagentico,TEXT,969038a83333,1133,WF_MASTER,IN_SCOPE,FULL
FILE-053,YAML_Card_Leonard_os_,TEXT,6cac1a65ff55,896,YAML_CARD,IN_SCOPE,FULL
FILE-054,Yamls_card_2_deskos_,TEXT,50419b1237b1,945,YAML_CARD,IN_SCOPE,FULL
SYS-001,master_index.json,JSON,708da6d7656a,'-,INDEX_ARTIFACT,EXCLUDED,N/A
SYS-002,MASTER_INDEX.md,MD,51aff3e952d2,'-,INDEX_ARTIFACT,EXCLUDED,N/A
,,,,,,,
<- VOLTAR AO WORKSPACE,,,,,,,
